key,value,img
9556041604314,A/B TUNA 185G LIGHT,
8886022930240,ABC BATERAI BIRU R6 4 S,
8991002122000,ABC EXO CHOCOMALT,
8994907000428,ABC KECAP SASET,
8991002101265,ABC KOPI PLUS 18 GR SCT,
8991002101630,ABC KOPI SUSU 32 GR SCT,
0711844120082,ABC SAMBAL EXTRA PEDAS BTL135ML,
0711844340008,ABC TERASI UDANG 20 S @ 4,
8991002101333,abc white coffe instan,
9556771000097,AC INSTANT COFFEE MIX 30X20G,
